WeekModel
1,name1,description1,["video_url1"],["reading_url1"],["quizz_url1"]
2,name2,description2,["video_url2"],["reading_url2"],["quizz_url2"]
3,name3,description3,["video_url3"],["reading_url3"],["quizz_url3"]
4,name4,description4,["video_url4"],["reading_url4"],["quizz_url4"]
5,name5,description5,["video_url5"],["reading_url5"],["quizz_url5"]
6,name6,description6,["video_url6"],["reading_url6"],["quizz_url6"]
7,name7,description7,["video_url7"],["reading_url7"],["quizz_url7"]
8,name8,description8,["video_url8"],["reading_url8"],["quizz_url8"]
9,name9,description9,["video_url9"],["reading_url9"],["quizz_url9"]
10,name10,description10,["video_url10"],["reading_url10"],["quizz_url10"]
11,name11,description11,["video_url11"],["reading_url11"],["quizz_url11"]
12,name12,description12,["video_url12"],["reading_url12"],["quizz_url12"]
13,name13,description13,["video_url13"],["reading_url13"],["quizz_url13"]
14,name14,description14,["video_url14"],["reading_url14"],["quizz_url14"]
15,name15,description15,["video_url15"],["reading_url15"],["quizz_url15"]
16,name16,description16,["video_url16"],["reading_url16"],["quizz_url16"]
17,name17,description17,["video_url17"],["reading_url17"],["quizz_url17"]
18,name18,description18,["video_url18"],["reading_url18"],["quizz_url18"]
19,name19,description19,["video_url19"],["reading_url19"],["quizz_url19"]
20,name20,description20,["video_url20"],["reading_url20"],["quizz_url20"]
21,name21,description21,["video_url21"],["reading_url21"],["quizz_url21"]
22,name22,description22,["video_url22"],["reading_url22"],["quizz_url22"]
23,name23,description23,["video_url23"],["reading_url23"],["quizz_url23"]
24,name24,description24,["video_url24"],["reading_url24"],["quizz_url24"]
25,name25,description25,["video_url25"],["reading_url25"],["quizz_url25"]
26,name26,description26,["video_url26"],["reading_url26"],["quizz_url26"]
27,name27,description27,["video_url27"],["reading_url27"],["quizz_url27"]
28,name28,description28,["video_url28"],["reading_url28"],["quizz_url28"]
29,name29,description29,["video_url29"],["reading_url29"],["quizz_url29"]
30,name30,description30,["video_url30"],["reading_url30"],["quizz_url30"]
31,name31,description31,["video_url31"],["reading_url31"],["quizz_url31"]
32,name32,description32,["video_url32"],["reading_url32"],["quizz_url32"]
33,name33,description33,["video_url33"],["reading_url33"],["quizz_url33"]
34,name34,description34,["video_url34"],["reading_url34"],["quizz_url34"]
35,name35,description35,["video_url35"],["reading_url35"],["quizz_url35"]
36,name36,description36,["video_url36"],["reading_url36"],["quizz_url36"]
37,name37,description37,["video_url37"],["reading_url37"],["quizz_url37"]
38,name38,description38,["video_url38"],["reading_url38"],["quizz_url38"]
39,name39,description39,["video_url39"],["reading_url39"],["quizz_url39"]
40,name40,description40,["video_url40"],["reading_url40"],["quizz_url40"]
41,name41,description41,["video_url41"],["reading_url41"],["quizz_url41"]
42,name42,description42,["video_url42"],["reading_url42"],["quizz_url42"]
43,name43,description43,["video_url43"],["reading_url43"],["quizz_url43"]
44,name44,description44,["video_url44"],["reading_url44"],["quizz_url44"]
45,name45,description45,["video_url45"],["reading_url45"],["quizz_url45"]
46,name46,description46,["video_url46"],["reading_url46"],["quizz_url46"]
47,name47,description47,["video_url47"],["reading_url47"],["quizz_url47"]
48,name48,description48,["video_url48"],["reading_url48"],["quizz_url48"]
49,name49,description49,["video_url49"],["reading_url49"],["quizz_url49"]
50,name50,description50,["video_url50"],["reading_url50"],["quizz_url50"]
51,name51,description51,["video_url51"],["reading_url51"],["quizz_url51"]
52,name52,description52,["video_url52"],["reading_url52"],["quizz_url52"]
53,name53,description53,["video_url53"],["reading_url53"],["quizz_url53"]
54,name54,description54,["video_url54"],["reading_url54"],["quizz_url54"]
55,name55,description55,["video_url55"],["reading_url55"],["quizz_url55"]
56,name56,description56,["video_url56"],["reading_url56"],["quizz_url56"]
57,name57,description57,["video_url57"],["reading_url57"],["quizz_url57"]
58,name58,description58,["video_url58"],["reading_url58"],["quizz_url58"]
59,name59,description59,["video_url59"],["reading_url59"],["quizz_url59"]
60,name60,description60,["video_url60"],["reading_url60"],["quizz_url60"]
61,name61,description61,["video_url61"],["reading_url61"],["quizz_url61"]
62,name62,description62,["video_url62"],["reading_url62"],["quizz_url62"]
63,name63,description63,["video_url63"],["reading_url63"],["quizz_url63"]
64,name64,description64,["video_url64"],["reading_url64"],["quizz_url64"]
65,name65,description65,["video_url65"],["reading_url65"],["quizz_url65"]
66,name66,description66,["video_url66"],["reading_url66"],["quizz_url66"]
67,name67,description67,["video_url67"],["reading_url67"],["quizz_url67"]
68,name68,description68,["video_url68"],["reading_url68"],["quizz_url68"]
69,name69,description69,["video_url69"],["reading_url69"],["quizz_url69"]
70,name70,description70,["video_url70"],["reading_url70"],["quizz_url70"]
71,name71,description71,["video_url71"],["reading_url71"],["quizz_url71"]
72,name72,description72,["video_url72"],["reading_url72"],["quizz_url72"]
73,name73,description73,["video_url73"],["reading_url73"],["quizz_url73"]
74,name74,description74,["video_url74"],["reading_url74"],["quizz_url74"]
75,name75,description75,["video_url75"],["reading_url75"],["quizz_url75"]
76,name76,description76,["video_url76"],["reading_url76"],["quizz_url76"]
77,name77,description77,["video_url77"],["reading_url77"],["quizz_url77"]
78,name78,description78,["video_url78"],["reading_url78"],["quizz_url78"]
79,name79,description79,["video_url79"],["reading_url79"],["quizz_url79"]
80,name80,description80,["video_url80"],["reading_url80"],["quizz_url80"]
81,name81,description81,["video_url81"],["reading_url81"],["quizz_url81"]
82,name82,description82,["video_url82"],["reading_url82"],["quizz_url82"]
83,name83,description83,["video_url83"],["reading_url83"],["quizz_url83"]
84,name84,description84,["video_url84"],["reading_url84"],["quizz_url84"]
85,name85,description85,["video_url85"],["reading_url85"],["quizz_url85"]
86,name86,description86,["video_url86"],["reading_url86"],["quizz_url86"]
87,name87,description87,["video_url87"],["reading_url87"],["quizz_url87"]
88,name88,description88,["video_url88"],["reading_url88"],["quizz_url88"]
89,name89,description89,["video_url89"],["reading_url89"],["quizz_url89"]
90,name90,description90,["video_url90"],["reading_url90"],["quizz_url90"]
91,name91,description91,["video_url91"],["reading_url91"],["quizz_url91"]
92,name92,description92,["video_url92"],["reading_url92"],["quizz_url92"]
93,name93,description93,["video_url93"],["reading_url93"],["quizz_url93"]
94,name94,description94,["video_url94"],["reading_url94"],["quizz_url94"]
95,name95,description95,["video_url95"],["reading_url95"],["quizz_url95"]
96,name96,description96,["video_url96"],["reading_url96"],["quizz_url96"]
97,name97,description97,["video_url97"],["reading_url97"],["quizz_url97"]
98,name98,description98,["video_url98"],["reading_url98"],["quizz_url98"]
99,name99,description99,["video_url99"],["reading_url99"],["quizz_url99"]
100,name100,description100,["video_url100"],["reading_url100"],["quizz_url100"]
101,name101,description101,["video_url101"],["reading_url101"],["quizz_url101"]
102,name102,description102,["video_url102"],["reading_url102"],["quizz_url102"]
103,name103,description103,["video_url103"],["reading_url103"],["quizz_url103"]
104,name104,description104,["video_url104"],["reading_url104"],["quizz_url104"]
105,name105,description105,["video_url105"],["reading_url105"],["quizz_url105"]
106,name106,description106,["video_url106"],["reading_url106"],["quizz_url106"]
107,name107,description107,["video_url107"],["reading_url107"],["quizz_url107"]
108,name108,description108,["video_url108"],["reading_url108"],["quizz_url108"]
109,name109,description109,["video_url109"],["reading_url109"],["quizz_url109"]
110,name110,description110,["video_url110"],["reading_url110"],["quizz_url110"]
111,name111,description111,["video_url111"],["reading_url111"],["quizz_url111"]
112,name112,description112,["video_url112"],["reading_url112"],["quizz_url112"]
113,name113,description113,["video_url113"],["reading_url113"],["quizz_url113"]
114,name114,description114,["video_url114"],["reading_url114"],["quizz_url114"]
115,name115,description115,["video_url115"],["reading_url115"],["quizz_url115"]
116,name116,description116,["video_url116"],["reading_url116"],["quizz_url116"]
117,name117,description117,["video_url117"],["reading_url117"],["quizz_url117"]
118,name118,description118,["video_url118"],["reading_url118"],["quizz_url118"]
119,name119,description119,["video_url119"],["reading_url119"],["quizz_url119"]
120,name120,description120,["video_url120"],["reading_url120"],["quizz_url120"]
121,name121,description121,["video_url121"],["reading_url121"],["quizz_url121"]
122,name122,description122,["video_url122"],["reading_url122"],["quizz_url122"]
123,name123,description123,["video_url123"],["reading_url123"],["quizz_url123"]
124,name124,description124,["video_url124"],["reading_url124"],["quizz_url124"]
125,name125,description125,["video_url125"],["reading_url125"],["quizz_url125"]
126,name126,description126,["video_url126"],["reading_url126"],["quizz_url126"]
